2017/09/04 9:26
000702 9630840
002742 4287500
603286 3615000
300265 3119229
603968 2802252
600630 2539004
300440 2523290
002454 2371644
300539 2342918
603595 2238968
002278 2057940
600382 1940340
603898 1795788
300189 1651185
600746 1637048
300440 5735868
300539 4271526
603978 4226167
002005 2084450
2017/09/05 9:26
603557 12049328
601619 3689994
600071 3689749
300678 3484500
300205 3308180
000408 2754565
002417 2516000
002813 2364138
603535 2267304
002881 2266880
600689 2090184
002853 1838025
300375 8588476
300682 5771520
002767 3656340
002845 3403080
600385 2479400
002536 2473653
300217 1992810
2017/09/06 9:26
000670 1624447
000670 4505544
000560 2628768
2017/09/07 9:26
603881 6351660
300680 3165900
002633 3099690
002021 2557728
603331 2510970
000702 2425280
002457 2345880
600361 2168100
300189 1809879
600152 1779034
600467 1754910
002850 4712800
300689 3653832
600130 3090133
002339 2367825
600273 2178264
600313 2114520
600734 1950000
2017/09/08 9:26
603817 10734948
000702 5291020
300688 5132358
300649 3517280
600467 3119040
300618 3062490
002859 2794000
300619 2643777
002881 2437560
002633 2355201
603305 1975946
300693 1888468
601015 1796672
300210 1748249
300469 1696800
002392 2789394
300568 2554740
300688 2522000
300659 2401800
600375 2166222
300377 2029300
000996 2022525
2017/09/11 9:26
300599 16008772
300618 4675000
300604 3644536
603181 2873567
300688 2805330
002149 2645716
300681 2576700
002631 2326010
002660 2252038
600367 2144693
002567 2027040
002196 1994200
300127 1843360
300688 9069500
300604 3716058
002387 3394000
002853 2496096
300364 2280705
300681 2110165
002495 2004786
300520 1955442
002154 1899474
600734 1837968
000796 1805100
2017/09/12 9:26
603586 4592933
002392 4001308
002160 3550800
002102 3118983
603602 3071996
300422 2440966
002670 2357145
603636 2248650
603429 1954890
002224 1941030
603928 1739720
603603 1638360
603928 2923830
600367 2865778
300545 2507100
300044 2463900
000996 2389500
002851 2115540
000809 1933470
2017/09/13 9:26
603612 6119750
603158 5901670
002194 4956760
300672 3236060
603557 2371828
300438 2158815
002441 2024451
300502 2020200
603388 1964752
002149 1957084
002851 1898946
002747 1743147
603305 1683315
600093 1664075
600355 2716776
002125 2320623
600321 1841349
603928 1802688
2017/09/14 9:26
002417 4953276
300335 4558176
300325 2591600
603079 2300116
002227 2192520
000670 1838900
300438 1706740
002196 4719141
600880 3369945
600889 2537964
300335 1979614
2017/09/15 9:26
300536 8426253
300228 3019974
601069 2432213
300223 2029434
603899 1954260
002082 1893591
002891 1856838
300031 1824000
002747 1751058
002670 1665044
601069 7214400
002225 5417577
603801 4231000
300675 2219385
000663 2204824
300228 2091684
002536 1820504
2017/09/18 9:26
002193 3410000
002604 3133515
002392 3044978
601952 2664175
002355 2655370
